Nombre,Equipo,Goles
Kylian Mbappe,REAL MADRID,9
Julian Alvarez,ATL.MADRID,6
Vinicius Junior,REAL MADRID,6
Etta Eyong,LEVANTE,5
Ferran Torres,BARCELONA,4
Ivan Romero,LEVANTE,4
Robert Lewandowski,BARCELONA,4
Borja Iglesias,CELTA,4
Vedat Muriqi,MALLORCA,4
Arda Guler,REAL MADRID,4
Pape Gueye,VILLARREAL,3
Raphinha,BARCELONA,3
Adrian Liso,GETAFE,3
Pere Milla,ESPANYOL,3
Rafa Mir,ELCHE,3
Ante Budimir,OSASUNA,3
Tajon Buchanan,VILLARREAL,3
Fermin Lopez,BARCELONA,3
Azzedine Ounahi,GIRONA,3
Cucho Hernandez,BETIS,3
Alfonso Gonzalez,SEVILLA,3
Baptiste Santamaria,VALENCIA,3
Hugo Duro,VALENCIA,3
Arnaut Danjuma,VALENCIA,3
Alvaro Garcia,RAYO VALLECANO,2
Jorge de Frutos,RAYO VALLECANO,2
Nicolas Pepe,VILLARREAL,2
Lamine Yamal,BARCELONA,2
Diego Lopez,VALENCIA,2
Alexander Sørloth,ATL.MADRID,2
Luis Morales,LEVANTE,2
Javier Rueda,CELTA,2
Javier Puado,ESPANYOL,2
Roberto Fernandez,ESPANYOL,2
Borja Mayoral,GETAFE,2
Pablo Fornals,BETIS,2
Carlos Alvarez,LEVANTE,2
Rodrigo Mendoza,ELCHE,2
Isaac Romero,SEVILLA,2
Mikel Oyarzabal,REAL SOCIEDAD,2
Carlos Vicente,ALAVES,2
Andre Silva,ELCHE,2
Manor Solomon,VILLARREAL,2
Georges Mikautadze,VILLARREAL,2
Marc Bartra,BETIS,2
Vladyslav Vanat,GIRONA,2
Isi Palazon,RAYO VALLECANO,1
Joel Roca,GIRONA,1
Jeremy Toljan,LEVANTE,1
Nahuel Tenaglia,ALAVES,1
Toni Martinez,ALAVES,1
Takefusa Kubo,REAL SOCIEDAD,1
cristantus Uche,GETAFE,1
Maroan Sannadi,ATH.BILBAO,1
Nico Williams,ATH.BILBAO,1
Robert Navarro,ATH.BILBAO,1
Lucien Agoume,SEVILLA,1
Peque,SEVILLA,1
Carlos Romero,ESPANYOL,1
Aitor Ruibal,BETIS,1
German Valera,ELCHE,1
Oihan Sancet,ATH.BILBAO,1
Giovani Lo,BETIS,1
Pedri,BARCELONA,1
Mateu Morey,MALLORCA,1
Ander Barrenetxea,REAL SOCIEDAD,1
Orri Oskarsson,REAL SOCIEDAD,1
Miguel Sierra,SEVILLA,1
Nicolas Gonzalez,ATL.MADRID,1
Pablo Barrios,ATL.MADRID,1
Enrique Garcia,ESPANYOL,1
Ismael Bekhoucha,GETAFE,1
Alexis Sanchez,SEVILLA,1
Ruben Vargas,SEVILLA,1
Dani Olmo,BARCELONA,1
Jon Aramburu,REAL SOCIEDAD,1
Goduine Koyalipou,LEVANTE,1
Victor Garcia,LEVANTE,1
Conor Gallagher,ATL.MADRID,1
Takuma Asano,MALLORCA,1
Eder Militao,REAL MADRID,1
Giuliano Simeone,ATL.MADRID,1
Rafa Marin,VILLARREAL,1
Miguel Rubio,ESPANYOL,1
Leander Dendoncker,OVIEDO,1
Aitor Paredes,ATH.BILBAO,1
Fran Perez,RAYO VALLECANO,1
Antoine Griezmann,ATL.MADRID,1
Robin Le Normand,ATL.MADRID,1
Alvaro Odriozola,REAL SOCIEDAD,1
Jules Kounde,BARCELONA,1
Abde Ezzalzouli,BETIS,1
Juan Iglesias,GETAFE,1
Akor Adams,SEVILLA,1
Marash Kumbulla,MALLORCA,1
Alberto Moleiro,VILLARREAL,1
John Donald,ELCHE,1
Luka Ilic,OVIEDO,1
Salomon Rondon,OVIEDO,1
Mikel Jauregizar,ATH.BILBAO,1
Pep Chavarria,RAYO VALLECANO,1
Franco Mastantuono,REAL MADRID,1
Mauro Arambarri,GETAFE,1
Ander Guevara,ALAVES,1
Eric Garcia,BARCELONA,1
Ronald Araujo,BARCELONA,1
Alberto Reina,OVIEDO,1
Hugo Alvarez,CELTA,1
Adria Pedrosa,ELCHE,1
Victor Munoz,OSASUNA,1
Samu Costa,MALLORCA,1
Alejandro Rego,ATH.BILBAO,1
Inaki Williams,ATH.BILBAO,1
Arnau Martinez,GIRONA,1
Abel Bretones,OSASUNA,1
Alejandro Catena,OSASUNA,1
Cedric Bakambu,BETIS,1
Leandro Cabrera,ESPANYOL,1
Mario Martin,GETAFE,1
Iker Benito,OSASUNA,1
Raul Garcia,OSASUNA,1
Brais Mendez,REAL SOCIEDAD,1
Djibril Sow,SEVILLA,1
Dodi Lukebakio,SEVILLA,1
Mouctar Diakhaby,VALENCIA,1
